task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1033	a6/07ebdb	45985	NearestGene (113)	COMPLETED	0	2024-06-12 23:23:31.978	2.3s	1.4s	102.0%	102 MB	117.9 MB	7.4 MB	14.7 KB
1034	d6/a2d804	46001	NearestGene (114)	COMPLETED	0	2024-06-12 23:23:32.092	2.3s	1.3s	102.6%	110.5 MB	126.7 MB	7.4 MB	14.7 KB
1036	45/aae41f	46041	AncestralAllele (1)	COMPLETED	0	2024-06-12 23:23:34.351	1.8s	952ms	103.8%	11.4 MB	20.2 MB	7.4 MB	15.4 KB
1035	15/0734d1	46035	NearestGene (115)	COMPLETED	0	2024-06-12 23:23:34.321	2.2s	1.2s	105.2%	115.4 MB	131.7 MB	7.4 MB	14.7 KB
1037	6d/f774b5	46071	AncestralAllele (2)	COMPLETED	0	2024-06-12 23:23:36.174	1.9s	992ms	105.3%	11 MB	20 MB	7.4 MB	15.4 KB
1038	57/4e94b6	46091	AncestralAllele (3)	COMPLETED	0	2024-06-12 23:23:36.480	1.9s	956ms	104.6%	12.9 MB	21.9 MB	7 MB	15.3 KB
1039	c2/097ebc	46110	AncestralAllele (4)	COMPLETED	0	2024-06-12 23:23:38.119	1.8s	963ms	104.6%	10.8 MB	19.8 MB	7 MB	15.3 KB
1040	09/34030e	46129	AncestralAllele (5)	COMPLETED	0	2024-06-12 23:23:38.369	1.9s	965ms	103.6%	10.6 MB	19.5 MB	7 MB	15.3 KB
1041	e1/70a69c	46148	AncestralAllele (6)	COMPLETED	0	2024-06-12 23:23:39.956	1.9s	1.1s	106.0%	11.4 MB	20.2 MB	7.4 MB	15.5 KB
1042	d7/3806a6	46168	AncestralAllele (7)	COMPLETED	0	2024-06-12 23:23:40.261	1.8s	911ms	102.4%	11.6 MB	20.3 MB	7.4 MB	15.4 KB
1043	db/251094	46186	AncestralAllele (8)	COMPLETED	0	2024-06-12 23:23:41.838	2s	1s	105.7%	11 MB	19.9 MB	7.4 MB	15.4 KB
1044	a2/9d054e	46206	AncestralAllele (9)	COMPLETED	0	2024-06-12 23:23:42.076	1.8s	869ms	103.9%	11.5 MB	20.2 MB	7 MB	15.6 KB
1045	80/c5300f	46227	AncestralAllele (10)	COMPLETED	0	2024-06-12 23:23:43.795	1.9s	1s	104.6%	13.4 MB	22.4 MB	7 MB	15.3 KB
1046	55/622922	46234	AncestralAllele (11)	COMPLETED	0	2024-06-12 23:23:43.833	1.9s	1s	103.0%	10.5 MB	19.4 MB	7 MB	15.8 KB
1047	f1/cd9e4b	46268	AncestralAllele (12)	COMPLETED	0	2024-06-12 23:23:45.666	1.8s	951ms	102.9%	10.9 MB	19.8 MB	7 MB	15.3 KB
